epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8124.99,0.46465,0.3897,0.00192,0.90303,0.86457,0.8888,0.8431,0.35552,0.35852,0.00185,0.000396265,0.000396265,0.000396265
43,8285.37,0.45494,0.37238,0.00181,0.91707,0.87476,0.89835,0.84716,0.35594,0.35678,0.00183,0.000389661,0.000389661,0.000389661
44,8445.45,0.44785,0.37095,0.00184,0.91684,0.84425,0.8895,0.84219,0.35775,0.36564,0.00185,0.000383058,0.000383058,0.000383058
45,8610.46,0.45969,0.37222,0.00188,0.90059,0.84343,0.89659,0.84987,0.35404,0.34544,0.00187,0.000376455,0.000376455,0.000376455
46,8770.73,0.45063,0.36476,0.00183,0.90536,0.87481,0.89426,0.84447,0.3561,0.34801,0.00185,0.000369851,0.000369851,0.000369851
47,8922.39,0.45401,0.37702,0.00183,0.90908,0.88145,0.89897,0.84442,0.36331,0.35792,0.00195,0.000363248,0.000363248,0.000363248
48,9085.97,0.45391,0.36505,0.00181,0.9222,0.8757,0.8966,0.84335,0.35867,0.34594,0.00186,0.000356645,0.000356645,0.000356645
49,9239.41,0.45137,0.36658,0.00181,0.9137,0.8572,0.89419,0.83423,0.38607,0.3577,0.002,0.000350042,0.000350042,0.000350042
50,9401.9,0.44969,0.36079,0.00183,0.91653,0.86767,0.90055,0.85131,0.34749,0.34246,0.0018,0.000343438,0.000343438,0.000343438
51,9550.36,0.44473,0.36235,0.00181,0.91834,0.88076,0.9004,0.8504,0.35289,0.34601,0.00183,0.000336835,0.000336835,0.000336835
52,9693.3,0.44546,0.36322,0.00179,0.92356,0.87782,0.89843,0.8423,0.36862,0.3487,0.00193,0.000330232,0.000330232,0.000330232
53,9844.95,0.44766,0.35729,0.0018,0.92784,0.8669,0.90009,0.8484,0.36425,0.34884,0.00194,0.000323628,0.000323628,0.000323628
54,9992.16,0.44234,0.35068,0.00179,0.92955,0.86124,0.90056,0.85191,0.35585,0.33922,0.00188,0.000317025,0.000317025,0.000317025
55,10147.2,0.43721,0.34257,0.00174,0.89587,0.85916,0.8866,0.83886,0.35144,0.3464,0.00183,0.000310422,0.000310422,0.000310422
56,10285.2,0.43807,0.34341,0.00175,0.93169,0.86534,0.89905,0.84732,0.35573,0.34254,0.00184,0.000303818,0.000303818,0.000303818
57,10427,0.43072,0.34257,0.00172,0.9095,0.85977,0.89107,0.84228,0.34936,0.34844,0.00182,0.000297215,0.000297215,0.000297215
58,10568.4,0.43371,0.3447,0.00175,0.92222,0.8546,0.89737,0.84553,0.35338,0.35214,0.00185,0.000290612,0.000290612,0.000290612
59,10713.7,0.43372,0.33584,0.00177,0.89163,0.85877,0.88808,0.83955,0.35198,0.35955,0.00185,0.000284009,0.000284009,0.000284009
60,10857.4,0.43748,0.34032,0.00177,0.93279,0.86305,0.89758,0.84542,0.36048,0.34955,0.00189,0.000277405,0.000277405,0.000277405
61,11005.7,0.43179,0.34684,0.0017,0.9019,0.85392,0.89404,0.84536,0.35039,0.34631,0.0018,0.000270802,0.000270802,0.000270802
62,11147.5,0.42557,0.32234,0.00167,0.92902,0.8676,0.89895,0.84835,0.35606,0.3422,0.00184,0.000264199,0.000264199,0.000264199
63,11286.9,0.432,0.33583,0.00175,0.89719,0.86665,0.90131,0.85227,0.3452,0.34327,0.00177,0.000257595,0.000257595,0.000257595
64,11424.3,0.4343,0.33593,0.00176,0.92988,0.86144,0.9032,0.85508,0.35546,0.33722,0.00182,0.000250992,0.000250992,0.000250992
65,11560.2,0.42501,0.32539,0.00172,0.90248,0.84481,0.89091,0.84363,0.34505,0.34115,0.00178,0.000244389,0.000244389,0.000244389
66,11705.8,0.43057,0.33429,0.00171,0.92207,0.84812,0.90013,0.853,0.34288,0.34782,0.00178,0.000237785,0.000237785,0.000237785
67,11847.5,0.42298,0.32143,0.00175,0.88508,0.87026,0.89937,0.84941,0.35153,0.34311,0.00186,0.000231182,0.000231182,0.000231182
68,11991.6,0.42901,0.33696,0.0017,0.91452,0.86771,0.90296,0.85193,0.35168,0.33052,0.00181,0.000224579,0.000224579,0.000224579
69,12128.4,0.4183,0.3155,0.00171,0.92976,0.87337,0.90069,0.85019,0.35127,0.33673,0.00179,0.000217976,0.000217976,0.000217976
70,12258.9,0.42611,0.31396,0.00173,0.92343,0.87496,0.90287,0.85632,0.3371,0.33078,0.00174,0.000211372,0.000211372,0.000211372
71,12400,0.41659,0.313,0.00167,0.92915,0.85901,0.90237,0.8537,0.34144,0.33073,0.00174,0.000204769,0.000204769,0.000204769
72,12538,0.42755,0.31808,0.00167,0.91413,0.85958,0.90195,0.8547,0.33717,0.33974,0.00172,0.000198166,0.000198166,0.000198166
73,12680.3,0.42196,0.3174,0.00169,0.9211,0.86287,0.90399,0.85456,0.34615,0.33347,0.00176,0.000191562,0.000191562,0.000191562
74,12816.6,0.42218,0.30701,0.0017,0.89443,0.87055,0.90416,0.85816,0.33814,0.33527,0.00175,0.000184959,0.000184959,0.000184959
75,12951.8,0.43354,0.32476,0.00177,0.89312,0.86357,0.90352,0.85643,0.35081,0.33281,0.00185,0.000178356,0.000178356,0.000178356
76,13091.8,0.42858,0.30707,0.00169,0.89331,0.87205,0.89799,0.85161,0.33516,0.32797,0.00173,0.000171752,0.000171752,0.000171752
77,13223.2,0.41243,0.30175,0.00166,0.86316,0.89047,0.89538,0.84938,0.33847,0.33423,0.00174,0.000165149,0.000165149,0.000165149
78,13358.1,0.41853,0.30192,0.00166,0.92336,0.85939,0.90209,0.8524,0.34895,0.33529,0.00177,0.000158546,0.000158546,0.000158546
79,13493.1,0.41621,0.30743,0.00166,0.90663,0.85832,0.89947,0.85207,0.33997,0.33626,0.00174,0.000151943,0.000151943,0.000151943
80,13635.9,0.41515,0.3096,0.00167,0.92387,0.84674,0.90109,0.85385,0.33596,0.33772,0.00173,0.000145339,0.000145339,0.000145339
81,13776.3,0.40988,0.30079,0.00166,0.89966,0.87277,0.90262,0.85556,0.33596,0.32912,0.00173,0.000138736,0.000138736,0.000138736
82,13911,0.40799,0.30998,0.00163,0.90461,0.86466,0.90231,0.85741,0.33414,0.33102,0.00173,0.000132133,0.000132133,0.000132133
83,14048.9,0.41262,0.30379,0.00164,0.89218,0.86955,0.90283,0.85542,0.33868,0.33448,0.00173,0.000125529,0.000125529,0.000125529
84,14187.2,0.4082,0.29438,0.00162,0.91411,0.84661,0.90107,0.85679,0.32848,0.33502,0.0017,0.000118926,0.000118926,0.000118926
85,14328.3,0.41043,0.29999,0.00165,0.87534,0.87857,0.90245,0.85732,0.33674,0.33199,0.00172,0.000112323,0.000112323,0.000112323
86,14473.4,0.40504,0.29707,0.0016,0.89996,0.86787,0.90189,0.85619,0.33504,0.33192,0.00172,0.00010572,0.00010572,0.00010572
87,14611.6,0.40501,0.29702,0.00161,0.93862,0.86572,0.90248,0.85653,0.33821,0.32964,0.00173,9.91162e-05,9.91162e-05,9.91162e-05
88,14750.5,0.40478,0.29028,0.0016,0.94365,0.85555,0.90318,0.85926,0.32865,0.32696,0.0017,9.25129e-05,9.25129e-05,9.25129e-05
89,14889.5,0.40522,0.28961,0.00157,0.93728,0.85024,0.90354,0.85863,0.3322,0.32786,0.00171,8.59096e-05,8.59096e-05,8.59096e-05
90,15028.8,0.40494,0.28845,0.00158,0.93526,0.8567,0.90365,0.85794,0.33519,0.33219,0.00172,7.93063e-05,7.93063e-05,7.93063e-05
91,15198.5,0.36819,0.26163,0.00161,0.85339,0.88249,0.89559,0.84896,0.33837,0.33349,0.00174,7.2703e-05,7.2703e-05,7.2703e-05
92,15346.2,0.36646,0.26012,0.00164,0.83427,0.89116,0.89509,0.84922,0.33647,0.33014,0.00173,6.60997e-05,6.60997e-05,6.60997e-05
93,15503,0.36941,0.25616,0.00167,0.89626,0.84903,0.89525,0.85109,0.33595,0.32922,0.00172,5.94964e-05,5.94964e-05,5.94964e-05
94,15662.6,0.36488,0.25431,0.00159,0.91629,0.84129,0.89382,0.84609,0.343,0.3321,0.00175,5.28931e-05,5.28931e-05,5.28931e-05
95,15820.9,0.36461,0.25335,0.00162,0.91862,0.84052,0.89405,0.84709,0.34131,0.33287,0.00173,4.62898e-05,4.62898e-05,4.62898e-05
96,15967,0.36377,0.25354,0.0016,0.84688,0.88561,0.89545,0.84843,0.33986,0.32956,0.00173,3.96865e-05,3.96865e-05,3.96865e-05
97,16123.1,0.35943,0.25083,0.00161,0.84598,0.88357,0.89452,0.84716,0.34,0.32779,0.00173,3.30832e-05,3.30832e-05,3.30832e-05
98,16275.3,0.36125,0.25352,0.00158,0.84297,0.88639,0.89505,0.84889,0.3382,0.32778,0.00172,2.64799e-05,2.64799e-05,2.64799e-05
99,16412.8,0.35398,0.24676,0.00155,0.90783,0.84638,0.89571,0.84965,0.33577,0.32465,0.00171,1.98766e-05,1.98766e-05,1.98766e-05
100,16558.6,0.3576,0.24697,0.00158,0.90455,0.84816,0.89473,0.8492,0.33592,0.32421,0.00171,1.32733e-05,1.32733e-05,1.32733e-05
